btc,btc_1,btc_2,btc_3,eth,eth_1,eth_2,eth_3,ltc,ltc_1,ltc_2,ltc_3,xrp,xrp_1,xrp_2,xrp_3
1176.5,1149.1,1171.6,1188.8,13.11,13.55,14.57,15.5,3.95,3.9,3.89,3.87,0.0056,0.00563,0.0057,0.00556
1149.1,1171.6,1188.8,1189.3,13.55,14.57,15.5,15.86,3.9,3.89,3.87,3.85,0.00563,0.0057,0.00556,0.00557
1171.6,1188.8,1189.3,1222.7,14.57,15.5,15.86,17.43,3.89,3.87,3.85,3.86,0.0057,0.00556,0.00557,0.00539
1188.8,1189.3,1222.7,1255.5,15.5,15.86,17.43,19.02,3.87,3.85,3.86,4.04,0.00556,0.00557,0.00539,0.00606
1189.3,1222.7,1255.5,1283.3,15.86,17.43,19.02,19.49,3.85,3.86,4.04,4.07,0.00557,0.00539,0.00606,0.006490000000000001
1222.7,1255.5,1283.3,1264.3,17.43,19.02,19.49,18.5,3.86,4.04,4.07,4.04,0.00539,0.00606,0.006490000000000001,0.0062
1255.5,1283.3,1264.3,1271.2,19.02,19.49,18.5,19.35,4.04,4.07,4.04,4.02,0.00606,0.006490000000000001,0.0062,0.00604
1283.3,1264.3,1271.2,1277.0,19.49,18.5,19.35,19.51,4.07,4.04,4.02,4.1,0.006490000000000001,0.0062,0.00604,0.00604
1264.3,1271.2,1277.0,1232.7,18.5,19.35,19.51,18.88,4.04,4.02,4.1,3.99,0.0062,0.00604,0.00604,0.00673
1271.2,1277.0,1232.7,1147.0,19.35,19.51,18.88,16.51,4.02,4.1,3.99,3.86,0.00604,0.00604,0.00673,0.0065
1277.0,1232.7,1147.0,1191.3,19.51,18.88,16.51,17.75,4.1,3.99,3.86,3.92,0.00604,0.00673,0.0065,0.00648
1232.7,1147.0,1191.3,1112.4,18.88,16.51,17.75,19.18,3.99,3.86,3.92,3.8,0.00673,0.0065,0.00648,0.00617
1147.0,1191.3,1112.4,1179.2,16.51,17.75,19.18,21.3,3.86,3.92,3.8,3.82,0.0065,0.00648,0.00617,0.00625
1191.3,1112.4,1179.2,1225.1,17.75,19.18,21.3,23.2,3.92,3.8,3.82,3.94,0.00648,0.00617,0.00625,0.00632
1112.4,1179.2,1225.1,1238.2,19.18,21.3,23.2,28.4,3.8,3.82,3.94,4.4,0.00617,0.00625,0.00632,0.00644
1179.2,1225.1,1238.2,1243.1,21.3,23.2,28.4,28.66,3.82,3.94,4.4,4.19,0.00625,0.00632,0.00644,0.00639
1225.1,1238.2,1243.1,1253.4,23.2,28.4,28.66,34.8,3.94,4.4,4.19,4.33,0.00632,0.00644,0.00639,0.00625
1238.2,1243.1,1253.4,1172.9,28.4,28.66,34.8,45.07,4.4,4.19,4.33,4.31,0.00644,0.00639,0.00625,0.0063
1243.1,1253.4,1172.9,1071.7,28.66,34.8,45.07,44.65,4.19,4.33,4.31,4.12,0.00639,0.00625,0.0063,0.0059700000000000005
1253.4,1172.9,1071.7,971.4,34.8,45.07,44.65,34.2,4.33,4.31,4.12,4.02,0.00625,0.0063,0.0059700000000000005,0.00688
1172.9,1071.7,971.4,1022.6,45.07,44.65,34.2,43.17,4.31,4.12,4.02,3.93,0.0063,0.0059700000000000005,0.00688,0.006690000000000001
1071.7,971.4,1022.6,1047.5,44.65,34.2,43.17,42.06,4.12,4.02,3.93,4.18,0.0059700000000000005,0.00688,0.006690000000000001,0.0069
971.4,1022.6,1047.5,1121.3,34.2,43.17,42.06,42.45,4.02,3.93,4.18,4.04,0.00688,0.006690000000000001,0.0069,0.0068200000000000005
1022.6,1047.5,1121.3,1044.7,43.17,42.06,42.45,41.46,3.93,4.18,4.04,3.94,0.006690000000000001,0.0069,0.0068200000000000005,0.00719
1047.5,1121.3,1044.7,1035.0,42.06,42.45,41.46,43.14,4.18,4.04,3.94,3.96,0.0069,0.0068200000000000005,0.00719,0.011000000000000001
1121.3,1044.7,1035.0,939.7,42.45,41.46,43.14,54.01,4.04,3.94,3.96,4.11,0.0068200000000000005,0.00719,0.011000000000000001,0.010620000000000001
1044.7,1035.0,939.7,966.3,41.46,43.14,54.01,50.75,3.94,3.96,4.11,4.09,0.00719,0.011000000000000001,0.010620000000000001,0.008879999999999999
1035.0,939.7,966.3,969.4,43.14,54.01,50.75,50.46,3.96,4.11,4.09,4.1,0.011000000000000001,0.010620000000000001,0.008879999999999999,0.00937
939.7,966.3,969.4,1045.1,54.01,50.75,50.46,48.93,4.11,4.09,4.1,4.08,0.010620000000000001,0.008879999999999999,0.00937,0.00943
966.3,969.4,1045.1,1044.4,50.75,50.46,48.93,50.16,4.09,4.1,4.08,4.2,0.008879999999999999,0.00937,0.00943,0.00955
969.4,1045.1,1044.4,1041.9,50.46,48.93,50.16,52.88,4.1,4.08,4.2,4.3,0.00937,0.00943,0.00955,0.01015
1045.1,1044.4,1041.9,1037.9,48.93,50.16,52.88,51.62,4.08,4.2,4.3,7.89,0.00943,0.00955,0.01015,0.01383
1044.4,1041.9,1037.9,1079.1,50.16,52.88,51.62,49.72,4.2,4.3,7.89,7.25,0.00955,0.01015,0.01383,0.0214
1041.9,1037.9,1079.1,1086.1,52.88,51.62,49.72,50.59,4.3,7.89,7.25,7.61,0.01015,0.01383,0.0214,0.022000000000000002
1037.9,1079.1,1086.1,1097.4,51.62,49.72,50.59,48.6,7.89,7.25,7.61,8.34,0.01383,0.0214,0.022000000000000002,0.0615
1079.1,1086.1,1097.4,1147.6,49.72,50.59,48.6,44.28,7.25,7.61,8.34,8.61,0.0214,0.022000000000000002,0.0615,0.032010000000000004
1086.1,1097.4,1147.6,1141.8,50.59,48.6,44.28,44.41,7.61,8.34,8.61,9.15,0.022000000000000002,0.0615,0.032010000000000004,0.03787
1097.4,1147.6,1141.8,1129.9,48.6,44.28,44.41,45.35,8.34,8.61,9.15,13.0,0.0615,0.032010000000000004,0.03787,0.03559
1147.6,1141.8,1129.9,1188.7,44.28,44.41,45.35,43.11,8.61,9.15,13.0,10.87,0.032010000000000004,0.03787,0.03559,0.0332
1141.8,1129.9,1188.7,1190.5,44.41,45.35,43.11,42.25,9.15,13.0,10.87,9.89,0.03787,0.03559,0.0332,0.03715
1129.9,1188.7,1190.5,1180.8,45.35,43.11,42.25,44.51,13.0,10.87,9.89,10.79,0.03559,0.0332,0.03715,0.03575
1188.7,1190.5,1180.8,1204.3,43.11,42.25,44.51,43.94,10.87,9.89,10.79,9.26,0.0332,0.03715,0.03575,0.034210000000000004
1190.5,1180.8,1204.3,1206.7,42.25,44.51,43.94,44.17,9.89,10.79,9.26,9.87,0.03715,0.03575,0.034210000000000004,0.03404
1180.8,1204.3,1206.7,1220.7,44.51,43.94,44.17,44.21,10.79,9.26,9.87,9.71,0.03575,0.034210000000000004,0.03404,0.03316
1204.3,1206.7,1220.7,1212.5,43.94,44.17,44.21,46.85,9.26,9.87,9.71,11.69,0.034210000000000004,0.03404,0.03316,0.03455
1206.7,1220.7,1212.5,1176.2,44.17,44.21,46.85,50.65,9.87,9.71,11.69,11.05,0.03404,0.03316,0.03455,0.03422
