"","date","market_price","avg_block_size","estimated_transaction_volume_usd","estimated_transaction_volume","output_volume","n_transactions","miners_revenue","difficulty","market_cap","cost_per_transaction","transaction_fees"
"623","2012-05-31 00:00:00",5.19,0.0638975616438356,1095397,211059,4812129.30926613,20951,37954.47,1591074.96184731,47331762,1.81158274068064,13.60278435
"624","2012-06-02 00:00:00",5.279,0.051931141025641,989428,187427,2387134.35993823,18570,41223.711,1591074.96184731,48224456.85,2.21990904684976,9.96264787
"625","2012-06-04 00:00:00",5.2785,0.128801470198675,1110604,210401,3521172.50922881,44984,40000.473,1591074.96184731,48301442.1,0.889215565534412,28.12443169
"626","2012-06-06 00:00:00",5.47,0.0483754674556213,1064912,194682,2751676.41249144,18275,46292.61,1591074.96184731,50137199.5,2.53311135430917,13.28754541
"627","2012-06-08 00:00:00",5.66,0.0799416689189189,1389101,245424,6042248.69799715,26974,41974.56,1591074.96184731,51956253,1.55611181137392,16.81802928
"628","2012-06-10 00:00:00",5.62,0.0973006823529412,850427,151322,1644528.24523867,39328,47904.88,1583177.84744401,51683768,1.21808584214809,24.41006786
"629","2012-06-12 00:00:00",5.7,0.0726647357142857,1167081,204751,2787261.32418194,20796,39968.4,1583177.84744401,52503270,1.92192729371033,12.59682379
"630","2012-06-14 00:00:00",5.95,0.175275684931507,1073837,180477,5229504.53289691,56997,43643.25,1583177.84744401,54897675,0.765711353229117,35.89565212
"631","2012-06-16 00:00:00",6.599,0.1393339625,1776317,269180,4351600.72402998,49313,52989.97,1583177.84744401,60990927.55,1.07456390809726,30.02680517
"632","2012-06-18 00:00:00",6.4668,0.110690656050955,1262781,195271,2575358.10564208,39028,50932.5168,1583177.84744401,59872544.46,1.30502502818489,26.16138093
"633","2012-06-20 00:00:00",6.64999,0.118343705882353,1697977,255335,1737453.2948116,33475,45359.58179,1726566.55919348,61674334.7565,1.35502858222554,21.58001528
"634","2012-06-22 00:00:00",6.79962,0.0865639078014184,1676382,246541,1584455.89816777,25550,48134.50998,1726566.55919348,63151470.75,1.88393385440313,29.83422135
"635","2012-06-24 00:00:00",6.5915,0.0714158642857143,1756136,266424,2180761.31442828,21880,46245.964,1726566.55919348,61318087.9,2.11361809872029,16.06404355
"636","2012-06-26 00:00:00",6.4514,0.0960080472972973,1930647,299260,1782749.7534054,32547,47862.9366,1726566.55919348,60111887.21,1.47057905797769,19.65510869
"637","2012-06-28 00:00:00",6.66897,0.0896963259259259,1547091,231983,3571435.20577539,27315,45122.25102,1726566.55919348,62238162.525,1.65192205820977,16.85485099
"638","2012-06-30 00:00:00",6.693,0.0702685563380282,958873,143265,1659773.18223623,23608,47614.002,1726566.55919348,62556793.8,2.01685877668587,14.1692415
"639","2012-07-02 00:00:00",6.75,0.0619124720496894,977687,144843,1167866.96925565,25272,54425.25,1726566.55919348,63190462.5,2.15357905982906,13.30033059
"640","2012-07-04 00:00:00",6.55,0.0611610943396226,1506107,229940,2384064.43623092,21992,52151.1,1751454.53534068,61417712.5,2.37136686067661,12.04784878
"641","2012-07-06 00:00:00",6.73449,0.0636975098039216,1325077,196760,1621179.08254343,21962,51599.66238,1751454.53534068,63245279.2125,2.34949742191057,12.41769967
"642","2012-07-08 00:00:00",6.87,0.0612823116883117,882943,128522,623122.94940547,21697,52981.44,1751454.53534068,64629181.5,2.44187860072821,12.394001
"643","2012-07-10 00:00:00",7.239,0.0967255430463576,1753780,242268,2373200.40293679,33442,54813.708,1751454.53534068,68214906.75,1.63906787871539,22.70876035
"644","2012-07-12 00:00:00",7.32,0.0787510993377483,1769973,241800,1310703.5420016,26493,55383.12,1751454.53534068,69083598,2.09048125920054,16.10499023
"645","2012-07-14 00:00:00",7.68891,0.0775100805369127,2336848,303924,2369172.75994419,25417,57405.40206,1751454.53534068,72684419.5665,2.25854357555966,16.39495791
"646","2012-07-16 00:00:00",8.2899,0.0932885472972973,1661503,200425,1695175.10559112,30561,61519.3479,1751454.53534068,78488773.2,2.01300179640719,21.32899927
"647","2012-07-18 00:00:00",9.39899,0.0929550331125828,2758940,293536,1740583.53574028,30733,71197.34925,1866391.30500321,89143780.756,2.3166416962223,25.25477096
"648","2012-07-20 00:00:00",9.23355,0.11505281294964,2297360,248806,1421994.54584047,35383,64450.179,1866391.30500321,87704874.675,1.82150125766611,30.14867241
"649","2012-07-22 00:00:00",9,0.0876327482014388,1248162,138685,2017199.61626351,29975,62685,1866391.30500321,85616550,2.09124270225188,15.35397674
"650","2012-07-24 00:00:00",8.96,0.0821879689440994,2030339,226600,2038593.74429922,29945,72280.32,1866391.30500321,85375360,2.41376924361329,17.55491401
"651","2012-07-26 00:00:00",8.9,0.0739709662921348,2138892,240325,1759046.66977158,30652,79370.2,1866391.30500321,84951390,2.58939710296229,18.68667012
"652","2012-07-28 00:00:00",8.93,0.0795506,1229283,137658,1721419.87290965,33187,76083.6,1866391.30500321,85388660,2.29257239280441,20.70498525
"653","2012-07-30 00:00:00",9.15,0.0923765459459459,1424114,155641,948209.35464832,38204,84829.65,2036671.08869332,87643275,2.22043895927128,21.59461114
"654","2012-08-01 00:00:00",9.54,0.111384241134752,2598530,272383,2785336.88999495,34163,67447.8,2036671.08869332,91509588,1.97429382665457,20.21423246
"655","2012-08-03 00:00:00",11.1188,0.0757594450867052,2961123,266317,1674221.83345971,29356,96366.6396,2036671.08869332,106835545.74,3.28268972612072,17.9249095
"656","2012-08-05 00:00:00",11.1869,0.0922645034482759,1596988,142755,2028384.34610782,32003,81373.5106,2036671.08869332,107654894.77,2.54268382964097,24.52949124
"657","2012-08-07 00:00:00",11.04,0.076450033557047,2113987,191484,1940221.75537085,28636,82468.8,2036671.08869332,106401312,2.87989942729431,20.92753532
"658","2012-08-09 00:00:00",12,0.0859794025157233,2882069,240172,1601461.7450621,33117,95616,2036671.08869332,115851000,2.88721804511278,18.36985252
"659","2012-08-11 00:00:00",11.59788,0.0754754936708861,1692485,145931,1920172.47218069,29979,91820.41596,2036671.08869332,112155558.858,3.06282450915641,17.37179137
"660","2012-08-13 00:00:00",11.86999,0.13397562745098,2115786,178247,1784521.5361984,49678,91102.17325,2190865.97010286,114978064.6355,1.83385348142035,25.04966154
"661","2012-08-15 00:00:00",12.67,0.127678701754386,2241263,176895,1863928.72092585,49070,108683.26,2190865.97010286,122938910.5,2.21486162624822,28.12433709
"662","2012-08-17 00:00:00",15.4,0.117367545454545,3341893,217006,2729697.58043967,40897,110572,2190865.97010286,149657200,2.70367019585789,30.58990923
"663","2012-08-19 00:00:00",12,0.108494094936709,4363895,363658,3349445.75565031,35022,95016,2190865.97010286,116799600,2.7130375192736,18.95507601
"664","2012-08-21 00:00:00",10.29999,0.0902503038674033,3146792,305514,6768934.30132734,40494,93451.80927,2190865.97010286,100443442.482,2.30779397614461,23.26574408
"665","2012-08-23 00:00:00",10.25,0.079413903030303,2653441,258872,8073544.01797349,31765,84777.75,2190865.97010286,100116875,2.66890445458838,21.53412752
"666","2012-08-25 00:00:00",10.25,0.108947419847328,2448928,238920,9640536.11203926,35491,67352.75,2440642.60691596,100263962.5,1.89774168098955,21.92109799
"667","2012-08-27 00:00:00",12.14999,0.0885204630872483,3360623,276595,3271317.78199501,31308,90869.77521,2440642.60691596,119046817.019,2.90244586719049,29.03414368
"668","2012-08-29 00:00:00",11.20999,0.0829747168674699,2736267,244092,12858493.6434747,33804,93311.95676,2440642.60691596,110013720.861,2.76038210744291,24.54703076
"669","2012-08-31 00:00:00",10.8359,0.11921920979021,4119638,380184,6726903.67459869,41495,77823.4338,2440642.60691596,106505519.305,1.87548942764188,32.39425452
