"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 01, 2018","0.99834","0.99996","1.00430","0.99822","1.73M","-0.16%"
"Aug 31, 2018","0.99996","1.00440","1.00512","0.98759","2.71M","0.08%"
"Aug 30, 2018","0.99919","0.99874","0.99919","0.99725","1.02M","0.04%"
"Aug 29, 2018","0.99874","0.99915","1.00223","0.99784","1.26M","0.01%"
"Aug 28, 2018","0.99864","0.99988","1.00277","0.99730","3.02M","-0.12%"
"Aug 27, 2018","0.99988","0.99933","1.02200","0.99933","1.48M","0.05%"
"Aug 26, 2018","0.99933","1.00517","1.00628","0.99286","156.37K","-0.13%"
"Aug 25, 2018","1.00068","1.00448","1.01328","0.99790","176.54K","0.12%"
"Aug 24, 2018","0.99949","1.00015","1.00698","0.99923","244.23K","-0.07%"
"Aug 23, 2018","1.00015","0.99973","1.01470","0.99946","690.68K","0.04%"
"Aug 22, 2018","0.99973","1.00395","1.00662","0.99681","1.86M","0.04%"
"Aug 21, 2018","0.99929","1.00061","1.02012","0.99905","364.15K","-0.13%"
"Aug 20, 2018","1.00061","1.00041","1.00474","0.99819","1.11M","0.02%"
"Aug 19, 2018","1.00041","1.00194","1.00421","1.00032","218.80K","-0.15%"
"Aug 18, 2018","1.00194","0.99986","1.01273","0.99986","571.54K","0.21%"
"Aug 17, 2018","0.99986","0.99931","1.00386","0.99663","865.96K","0.05%"
"Aug 16, 2018","0.99931","1.00113","1.00259","0.99757","1.57M","-0.18%"
"Aug 15, 2018","1.00113","1.01170","1.01170","1.00001","985.69K","-0.03%"
"Aug 14, 2018","1.00147","1.00005","1.02823","0.99933","2.31M","0.14%"
"Aug 13, 2018","1.00005","1.00000","1.01887","0.99352","2.86M","0.00%"
"Aug 12, 2018","1.00000","1.00114","1.01860","0.99897","265.03K","-0.11%"
"Aug 11, 2018","1.00114","1.00558","1.00740","0.99933","856.63K","0.08%"
"Aug 10, 2018","1.00030","0.99905","1.00785","0.99905","1.78M","0.13%"
"Aug 09, 2018","0.99905","1.00020","1.01033","0.99243","2.21M","-0.12%"
"Aug 08, 2018","1.00020","1.00403","1.00451","1.00020","2.48M","0.04%"
"Aug 07, 2018","0.99978","0.99750","1.00338","0.99750","867.02K","0.23%"
"Aug 06, 2018","0.99750","1.00500","1.02340","0.98904","635.29K","-0.17%"
"Aug 05, 2018","0.99923","1.00211","1.00411","0.99738","722.23K","0.03%"
"Aug 04, 2018","0.99893","1.00455","1.00455","0.99732","499.88K","-0.01%"
"Aug 03, 2018","0.99905","0.99853","0.99905","0.99736","1.52M","0.05%"
"Aug 02, 2018","0.99853","1.00580","1.00650","0.98664","675.29K","-0.10%"
"Aug 01, 2018","0.99951","0.99814","1.00548","0.99613","639.42K","0.14%"
"Jul 31, 2018","0.99814","0.99730","1.00938","0.98883","1.45M","0.08%"
"Jul 30, 2018","0.99730","0.99985","1.00060","0.99540","791.67K","-0.26%"
"Jul 29, 2018","0.99985","0.99853","1.00087","0.99441","3.12M","0.13%"
"Jul 28, 2018","0.99853","0.99969","1.00368","0.99360","212.92K","-0.12%"
"Jul 27, 2018","0.99969","1.00100","1.00138","0.99636","1.61M","0.07%"
"Jul 26, 2018","0.99895","0.99814","0.99941","0.99216","1.27M","0.08%"
