"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 20, 2018","7.8467","8.4164","8.5270","7.7130","11.71M","-6.77%"
"Jul 19, 2018","8.4164","8.6049","8.7439","8.1475","8.23M","-2.19%"
"Jul 18, 2018","8.6049","8.7826","9.3298","8.4459","10.66M","-2.02%"
"Jul 17, 2018","8.7826","8.0990","8.9650","7.8420","11.12M","8.51%"
"Jul 16, 2018","8.0935","7.4017","8.1732","7.2344","9.63M","9.34%"
"Jul 15, 2018","7.4020","6.9306","7.5205","6.8742","5.71M","6.71%"
"Jul 14, 2018","6.9366","6.8950","7.0983","6.7807","3.81M","0.60%"
"Jul 13, 2018","6.8950","6.9284","7.2210","6.6860","7.14M","-0.24%"
"Jul 12, 2018","6.9119","7.1540","7.1644","6.5500","9.42M","-3.34%"
"Jul 11, 2018","7.1510","7.1319","7.3944","6.7500","9.36M","0.23%"
"Jul 10, 2018","7.1348","7.6868","7.7743","7.0600","11.99M","-6.86%"
"Jul 09, 2018","7.6607","8.6944","8.7201","7.4351","8.34M","-11.89%"
"Jul 08, 2018","8.6943","8.8511","8.9805","8.6757","3.38M","-1.77%"
"Jul 07, 2018","8.8512","8.6259","8.9074","8.3650","3.69M","2.63%"
"Jul 06, 2018","8.6246","8.8377","8.8699","8.3172","6.11M","-2.69%"
"Jul 05, 2018","8.8630","8.9059","9.2000","8.6640","6.66M","-0.49%"
"Jul 04, 2018","8.9068","8.8120","9.3630","8.8120","7.01M","1.10%"
"Jul 03, 2018","8.8095","8.9781","9.4440","8.7201","10.02M","-1.87%"
"Jul 02, 2018","8.9776","8.1221","9.1401","7.9120","10.67M","10.53%"
"Jul 01, 2018","8.1223","8.1150","8.1223","7.7696","4.24M","0.09%"
"Jun 30, 2018","8.1150","7.7510","8.3010","7.7510","7.71M","4.70%"
"Jun 29, 2018","7.7510","7.3700","7.8947","7.0466","9.66M","5.17%"
"Jun 28, 2018","7.3702","7.9873","8.0610","7.3130","7.87M","-7.75%"
"Jun 27, 2018","7.9892","7.3547","8.2365","7.2720","9.84M","8.43%"
"Jun 26, 2018","7.3680","8.1750","8.2413","7.3477","9.19M","-9.85%"
"Jun 25, 2018","8.1730","8.0470","8.4840","7.7162","10.27M","1.57%"
"Jun 24, 2018","8.0470","8.3560","8.4218","6.9151","23.64M","-3.70%"
"Jun 23, 2018","8.3560","8.5279","8.7551","8.0200","7.16M","-2.02%"
"Jun 22, 2018","8.5279","10.3920","10.4320","8.2568","18.20M","-17.95%"
"Jun 21, 2018","10.3940","10.4260","10.8600","10.1990","4.46M","-0.31%"
"Jun 20, 2018","10.4260","10.6830","10.8170","10.1920","5.86M","-2.65%"
"Jun 19, 2018","10.7100","10.7090","10.8990","10.4500","4.08M","-0.04%"
"Jun 18, 2018","10.7140","10.3300","10.8800","10.1290","5.22M","3.92%"
"Jun 17, 2018","10.3100","10.5350","10.7140","10.2500","3.33M","-2.14%"
"Jun 16, 2018","10.5350","10.5290","10.7910","10.1512","6.59M","0.05%"
"Jun 15, 2018","10.5300","11.2500","11.2500","10.3530","9.10M","-6.01%"
"Jun 14, 2018","11.2030","9.9919","11.6360","9.4540","15.28M","12.12%"
"Jun 13, 2018","9.9919","9.9771","10.2820","9.1000","13.18M","0.16%"
"Jun 12, 2018","9.9763","11.2640","11.3050","9.6390","9.57M","-11.56%"
"Jun 11, 2018","11.2800","10.9690","11.4040","10.4000","11.88M","2.69%"
"Jun 10, 2018","10.9840","14.1280","14.1280","10.0350","27.04M","-22.26%"
"Jun 09, 2018","14.1300","14.0190","15.0340","13.9730","7.13M","0.79%"
